stnId,SPI1,tm,stnNm,avgTa,minTa,maxTa,sumRn,avgWs,avgTd,avgRhm,avgPa,avgTs
245,-1.341,1991-01-02,정읍,-1.5,-3.8,1.8,0.0,1.4,-8.6,59.3,1018.8,0.6
245,-1.332,1991-01-03,정읍,-1.5,-7.5,5.1,0.6,0.8,-4.1,76.3,1018.3,1.0
245,-1.189,1991-01-04,정읍,-3.8,-7.2,1.8,0.9,0.8,-7.1,78.5,1019.2,0.2
245,-1.16,1991-01-05,정읍,-5.0,-7.5,-2.2,1.0,0.6,-7.5,84.0,1017.8,0.5
245,-1.092,1991-01-06,정읍,-4.1,-9.0,3.0,0.0,0.5,-6.2,80.5,1020.4,0.7
245,-1.071,1991-01-07,정읍,0.9,-2.5,4.2,0.8,1.4,-2.5,79.3,1016.0,0.9
245,-1.062,1991-01-08,정읍,-2.9,-5.6,0.1,0.3,1.0,-6.1,79.5,1018.1,0.7
245,-1.156,1991-01-09,정읍,-2.2,-7.8,4.9,0.0,0.4,-5.8,78.3,1019.1,-0.1
245,-1.129,1991-01-10,정읍,2.2,-1.4,7.3,0.0,0.5,-1.9,74.0,1017.4,3.0
245,-1.215,1991-01-11,정읍,-0.6,-4.2,3.8,0.0,0.6,-5.0,72.3,1015.0,1.2
245,-1.187,1991-01-12,정읍,-1.3,-4.4,2.8,1.3,0.4,-2.6,91.0,1016.9,-1.1
245,-1.081,1991-01-13,정읍,-3.3,-7.9,1.7,0.0,0.8,-8.5,70.8,1022.7,2.2
245,-1.112,1991-01-14,정읍,-4.5,-8.7,-0.8,0.0,0.5,-9.6,70.8,1025.4,0.4
245,-1.143,1991-01-15,정읍,-0.6,-7.0,7.2,0.0,0.6,-4.9,74.8,1023.7,1.1
245,-1.113,1991-01-16,정읍,3.5,-2.5,9.9,0.0,1.1,-1.7,71.3,1021.4,3.2
245,-1.021,1991-01-17,정읍,1.7,-4.4,5.1,0.0,1.2,-4.9,64.3,1022.9,3.6
245,-1.163,1991-01-18,정읍,-3.6,-9.2,4.9,0.0,0.4,-9.0,71.3,1027.7,0.5
245,-1.212,1991-01-19,정읍,-0.5,-8.5,11.5,0.0,0.6,-8.3,64.5,1025.9,0.5
245,-1.191,1991-01-20,정읍,3.5,-3.8,11.6,0.0,0.4,-3.3,65.3,1019.9,4.8
245,-1.117,1991-01-21,정읍,4.0,2.8,5.3,8.2,0.3,2.6,90.5,1013.5,5.4
245,-0.748,1991-01-22,정읍,5.5,3.5,7.7,0.0,0.5,4.0,90.5,1017.6,5.9
245,-0.793,1991-01-23,정읍,4.6,2.1,10.8,0.0,0.7,1.1,82.8,1023.5,6.2
245,-0.817,1991-01-24,정읍,4.9,1.8,7.6,1.7,0.9,1.0,79.0,1016.3,4.5
245,-0.823,1991-01-25,정읍,1.8,-2.1,5.9,0.0,1.2,-1.7,71.0,1019.6,4.3
245,-1.043,1991-01-26,정읍,-1.8,-4.9,5.3,0.0,0.8,-7.6,68.8,1024.3,1.3
245,-1.033,1991-01-27,정읍,-1.0,-5.2,4.9,0.0,0.8,-6.2,70.5,1026.0,2.7
245,-0.905,1991-01-28,정읍,-3.2,-7.8,3.2,0.0,0.4,-8.3,74.0,1027.5,-2.4
245,-0.906,1991-01-29,정읍,-0.8,-5.5,8.3,0.0,0.6,-6.9,71.0,1026.9,0.1
245,-0.898,1991-01-30,정읍,-0.7,-4.6,6.1,0.0,0.8,-4.3,79.0,1025.8,1.2
245,-0.931,1991-01-31,정읍,0.2,-2.9,6.4,0.0,0.9,-4.4,75.0,1021.3,2.5
245,-1.134,1991-02-01,정읍,-1.3,-5.3,3.7,0.0,0.7,-5.1,78.5,1018.6,-0.4
245,-1.258,1991-02-02,정읍,-2.6,-7.5,4.8,0.0,0.7,-8.0,71.5,1021.1,0.2
245,-1.24,1991-02-03,정읍,-1.3,-5.9,5.1,0.0,0.8,-4.9,78.3,1020.0,-0.2
245,-1.29,1991-02-04,정읍,0.7,-2.6,3.8,0.0,0.8,-4.2,71.5,1017.6,0.7
245,-1.309,1991-02-05,정읍,0.2,-3.4,6.5,0.0,0.6,-5.8,65.8,1019.6,3.1
245,-1.192,1991-02-06,정읍,-0.3,-4.9,7.2,0.0,0.6,-5.0,75.3,1017.9,2.3
245,-1.24,1991-02-07,정읍,2.8,-3.1,9.3,1.3,0.9,0.2,85.0,1015.1,4.1
245,-1.172,1991-02-08,정읍,1.8,-3.6,8.0,0.0,0.6,-4.8,68.5,1020.4,4.0
245,-1.217,1991-02-09,정읍,2.5,-4.8,10.8,9.8,0.7,-0.3,83.5,1015.7,2.6
245,-0.529,1991-02-10,정읍,3.9,2.1,4.5,9.6,0.7,3.2,95.0,1009.3,4.5
245,-0.043,1991-02-11,정읍,4.0,-0.8,7.9,0.7,0.7,0.5,78.3,1015.2,5.4
245,-0.063,1991-02-12,정읍,1.4,-2.8,9.8,0.0,0.7,-3.8,74.8,1021.4,3.7
245,-0.033,1991-02-13,정읍,2.2,-1.0,8.0,0.0,0.5,-2.8,75.0,1020.6,2.9
245,-0.092,1991-02-14,정읍,2.8,-3.2,8.1,3.7,0.5,0.5,87.3,1013.5,3.3
245,0.069,1991-02-15,정읍,4.0,2.5,6.4,15.3,0.7,2.9,93.3,1006.3,4.4
245,0.744,1991-02-16,정읍,1.9,-2.8,8.9,0.0,0.4,-1.6,80.5,1012.5,1.9
245,0.707,1991-02-17,정읍,0.8,-4.2,7.2,0.0,0.5,-4.4,73.8,1019.7,1.6
245,0.757,1991-02-18,정읍,1.3,-1.3,5.0,0.3,0.4,-2.0,79.0,1016.8,1.5
245,0.812,1991-02-19,정읍,-1.0,-4.0,1.9,0.4,1.6,-8.7,59.0,1018.1,2.5
245,0.844,1991-02-20,정읍,-2.1,-7.7,3.0,2.6,1.1,-6.9,73.3,1016.5,1.1
245,0.605,1991-02-21,정읍,-2.1,-7.2,1.0,1.1,1.9,-9.5,57.0,1019.4,0.2
245,0.657,1991-02-22,정읍,-7.8,-10.8,-4.4,5.3,1.5,-10.1,84.3,1020.0,-2.0
245,0.808,1991-02-23,정읍,-8.4,-15.2,-1.0,0.0,0.5,-12.5,77.0,1026.9,-2.2
245,0.681,1991-02-24,정읍,-8.0,-15.3,-1.0,0.0,0.6,-12.6,77.5,1030.2,-3.0
245,0.648,1991-02-25,정읍,-4.7,-11.1,3.1,0.0,0.6,-8.8,76.0,1030.2,0.3
245,0.552,1991-02-26,정읍,-1.2,-6.8,7.4,0.0,0.9,-5.6,75.8,1026.4,2.2
245,0.56,1991-02-27,정읍,4.0,-2.3,8.9,3.2,1.3,2.4,89.5,1017.6,3.5
